YEAR,OBS_GEAR_CODE,FMP_GEAR,FMP_SUBAREA,MONTH,NVES,NHAUL,MCPUEW,MCPUEN,sdCPUEW,sdCPUEN
1996,1,TRW,BS,1,12,84,21.48450993,9.231540702,28.38322731,8.599581095
1996,1,TRW,BS,2,14,115,32.6212388,12.23220504,44.47731042,15.55470075
1996,1,TRW,BS,3,21,531,39.99090274,13.94530653,48.7853645,17.47451355
1996,1,TRW,BS,4,7,324,42.33901959,13.48933958,67.05970518,22.00521249
1996,1,TRW,BS,5,2,12,40.0456635,22.92319665,15.86652085,9.572780473
1996,1,TRW,BS,6,7,81,14.75943027,6.851786188,17.1828329,9.395237603
1996,1,TRW,BS,7,1,3,16.78167222,3.576055556,17.93343175,2.996717928
1996,1,TRW,BS,9,1,4,24.20836667,7.24775,19.90922295,9.694283324
1996,1,TRW,BS,11,5,34,29.9136295,5.152602501,36.94432287,5.858539916
1996,6,POT,BS,3,3,67,71.8341673,26.90270149,27.14945422,12.50084611
1996,6,POT,BS,4,2,81,57.5664875,19.11864831,21.4201669,8.903793955
1996,6,POT,BS,5,2,54,55.3636598,11.28760965,19.96163085,4.45654575
1996,6,POT,BS,6,2,71,69.66708199,13.24051166,25.99295129,3.73941566
1996,6,POT,BS,7,3,139,45.86126124,14.30431844,23.95582534,7.510636547
1996,6,POT,BS,8,4,123,47.44981057,12.01200642,21.63909149,6.489819887
1996,6,POT,BS,9,3,7,39.87272841,10.97761381,16.20213139,3.621578453
1996,6,POT,BS,10,6,152,44.55019447,10.73546731,19.69720888,4.770332894
1996,6,POT,BS,11,1,9,56.94077751,9.800315581,16.52366731,2.509489804
1996,6,POT,BS,12,1,7,4.709534459,0.994321413,2.849619344,0.46722835
1996,8,HAL,BS,1,22,921,0.873864731,0.244378829,0.41315095,0.110479302
1996,8,HAL,BS,2,23,706,0.884400201,0.255649353,0.370926707,0.09183869
1996,8,HAL,BS,3,31,1101,0.785974245,0.23933026,0.347179266,0.088942103
1996,8,HAL,BS,4,27,889,0.725406707,0.226336088,0.314515254,0.092191834
1996,8,HAL,BS,5,17,322,0.670485564,0.191772325,0.30922116,0.08548176
1996,8,HAL,BS,9,27,1081,0.52356062,0.120500666,0.29350233,0.056957995
1996,8,HAL,BS,10,27,1058,0.552478647,0.128557378,0.282218987,0.062108679
1996,8,HAL,BS,11,23,266,0.576615021,0.12639454,0.331077666,0.064237219
1997,1,TRW,BS,1,5,58,46.42737381,15.82351441,35.87258753,11.33480803
1997,1,TRW,BS,2,25,420,67.942353,20.11155056,60.15298893,14.77241467
1997,1,TRW,BS,3,75,1661,50.40396686,16.63187317,69.42968992,20.65083122
1997,1,TRW,BS,4,68,1271,34.46700082,10.85449211,27.65795511,9.111214777
1997,1,TRW,BS,5,21,253,16.89011555,6.879116231,14.91027909,6.55865126
1997,1,TRW,BS,6,5,63,6.938622532,3.116537343,4.668090825,2.261699386
1997,1,TRW,BS,7,4,7,19.85253154,3.974090836,31.14618138,4.65247242
1997,1,TRW,BS,8,5,79,20.24119445,4.216911,20.03454898,3.47201427
1997,1,TRW,BS,9,1,1,1.7248,0.584666667,NA,NA
1997,6,POT,BS,3,6,22,82.36964536,26.9533799,30.97264348,9.073185094
1997,6,POT,BS,4,23,481,96.20088951,28.56651104,42.56047068,11.98993484
1997,6,POT,BS,5,26,396,52.72073339,14.73191787,27.07497553,7.530538276
1997,6,POT,BS,6,13,217,49.12513107,11.44416193,27.94542665,5.09141691
1997,6,POT,BS,7,5,105,40.50436752,9.663728772,24.73068765,5.27040554
1997,6,POT,BS,8,5,39,53.27912732,13.15671534,23.09879158,4.700632384
1997,6,POT,BS,9,8,70,29.28822248,8.142467364,22.1570471,5.984878571
1997,6,POT,BS,10,12,181,54.11407683,10.88201415,23.49698353,4.363541372
1997,6,POT,BS,11,6,23,38.07156695,8.380272881,27.73084868,5.540561902
1997,6,POT,BS,12,4,39,42.13862903,9.634801559,21.87462885,3.292182731
1997,8,HAL,BS,1,20,638,0.959765865,0.240464464,0.379009479,0.091698446
1997,8,HAL,BS,2,22,790,1.013129737,0.270044927,0.402487742,0.106914045
1997,8,HAL,BS,3,27,988,0.848078923,0.252361735,0.341736735,0.090342534
1997,8,HAL,BS,4,21,530,0.837023492,0.263562099,0.305630066,0.093913053
1997,8,HAL,BS,5,26,621,0.659748161,0.192463843,0.268827035,0.078309398
1997,8,HAL,BS,9,27,574,0.574311207,0.136367778,0.329064728,0.067215271
